BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Donovan2B-1B,4,1,2,0,0,0,0,.297,.848
GoldschmidtDH,2,2,1,0,2,1,1,.353,1.054
Arenado3B,4,2,3,3,0,0,2,.281,.872
Yepez1B,3,0,1,2,0,0,1,.280,.799
Edman2B,0,0,0,0,0,0,0,.274,.765
DickersonLF,4,0,1,0,0,1,2,.183,.453
NootbaarRF,3,0,0,0,0,1,2,.100,.282
"Sosa, ESS",3,0,0,0,0,0,0,.215,.548
KniznerC,3,0,0,0,0,1,0,.237,.642
BaderCF,3,0,0,0,0,0,0,.250,.653
,29,5,8,5,2,4,8,,
