BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,0,0,0,0,0,3,.262,.730
RutschmanC,4,1,2,0,0,1,0,.251,.794
SantanderRF,4,2,2,2,0,1,2,.259,.815
Mountcastle1B,4,0,1,1,0,2,1,.246,.729
"Urías, R3B",3,0,0,0,0,2,2,.249,.720
a-StowersPH,1,0,0,0,0,0,0,.229,.632
Vavra2B,0,0,0,0,0,0,0,.224,.596
Henderson2B-3B,4,0,1,0,0,1,1,.304,.855
AguilarDH,4,0,1,0,0,1,0,.232,.660
HaysLF,4,0,1,0,0,1,2,.251,.727
MateoSS,3,0,0,0,0,0,3,.227,.668
,35,3,8,3,0,9,14,,
