PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(L, 0-2)",3.2,6,6,6,2,5,1,7.56
Moran,0.1,3,2,2,1,0,1,54.00
Barria,4.0,4,2,1,0,2,0,4.05
,8.0,13,10,9,3,7,2,
