BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Miller, B3B",4,0,1,0,0,2,2,.250,.904
Ibáñez3B,1,0,0,0,0,0,0,.227,.500
Semien2B,5,1,1,0,0,1,2,.111,.291
SeagerSS,4,1,2,3,1,1,1,.346,.893
GarverDH,5,1,1,0,0,1,4,.300,.890
"Lowe, N1B",5,1,2,1,0,0,2,.348,.835
"García, AdCF",3,1,1,0,1,0,0,.200,.735
"White, ECF",1,0,0,0,0,0,0,.000,.000
CalhounRF,4,0,1,0,0,2,4,.118,.329
"Calhoun, WLF",1,2,1,0,1,0,0,.167,.833
a-SolakPH-LF,2,0,0,0,0,0,1,.250,1.025
HeimC,4,3,3,5,0,0,2,.545,1.706
,39,10,13,9,3,7,18,,
