BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BlackmonDH,5,0,1,0,0,2,4,.267,.771
IglesiasSS,5,0,1,1,0,2,3,.312,.768
Cron1B,5,0,1,0,0,0,1,.276,.831
Rodgers2B,4,1,0,0,1,0,2,.279,.759
GrichukRF,4,2,3,1,0,0,0,.256,.718
"Díaz, EC",4,0,1,0,0,0,3,.229,.657
DazaCF,4,1,2,1,0,1,1,.302,.721
JoeLF,4,0,1,0,0,0,4,.247,.714
1-HilliardPR-LF,0,0,0,0,0,0,0,.181,.530
"Montero, E3B",4,1,2,2,0,1,1,.229,.593
McMahon3B,0,0,0,0,0,0,0,.241,.720
,39,5,12,5,1,6,19,,
