PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Ray(W, 9-8)",6.0,6,2,2,2,10,1,3.87
"Muñoz, A(H, 17)",1.0,1,0,0,1,3,0,2.61
"Festa(H, 6)",1.0,0,0,0,0,0,0,3.34
"Swanson, E",1.0,0,0,0,0,0,0,0.97
,9.0,7,2,2,3,13,1,
