,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2018,HOU,AL,28,72,64,10,9,2,1,0,4,6,13,1,1,2,.141,.236,.203,.439
,2019,HOU,AL,22,72,67,15,18,6,0,4,11,4,20,5,0,1,.269,.319,.537,.856
,2020,HOU,AL,58,228,209,33,56,12,6,9,42,18,46,8,1,0,.268,.325,.512,.837
,2021,HOU,AL,140,567,506,83,149,37,3,30,92,53,90,14,2,1,.294,.359,.557,.916
*,2022,HOU,AL,150,609,544,71,140,28,1,30,107,59,95,25,4,1,.257,.330,.478,.808
,5 Seasons,HOU,AL,398,1548,1390,212,372,85,11,73,256,140,264,53,8,5,.268,.335,.502,.837
