 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,119,92.2,84.7,--,--,--,--,--,--,--,--,107,84.5,--,--,12,--
2021,377,91.5,86.8,--,--,--,--,--,--,--,--,--,--,8,--,369,86.9
2022,389,93.2,89.0,--,--,--,--,--,--,--,--,--,--,--,--,389,89.0
