 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,72,278,-7,-7,4,1,-9
2019,,86,325,0,-7,2,1,-3
2020,,279,"1,055",0,1,10,5,16
2021,,628,"2,414",9,-6,22,11,36
2022,,662,"2,498",21,-25,19,11,26
