Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,72,26,36.1,.222,.181
2019,L,71,46,64.8,.251,.403
2020,L,226,167,73.9,.462,.309
2021,L,562,479,85.2,.294,.398
2022,L,605,550,90.9,.463,.336
