,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,609,544,71,140,30,107,25,.257,.330,.478,.808
5 Seasons,1548,1390,212,372,73,256,53,.268,.335,.502,.837
