Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,--,0,0.2,0,1,0,0,--
2019,,21.4,4,4.4,0,1,3,2,50.0
2020,,23.4,10,11.8,-2,7,13,2,20.0
2021,,24.3,34,29.5,5,18,26,10,29.4
2022,,24.8,33,32.1,1,6,26,13,39.4
Player,,24.2,81,78.0,3,33,68,27,33.3
