Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2018,278,51.4,81.1,82.8,18.5,48.0,35.3,41.7,50.7,23.4,9.0,84.0
2019,259,44.4,77.4,77.5,30.6,54.5,41.7,43.7,51.4,30.1,9.7,96.0
2020,862,47.4,77.3,82.6,26.3,63.9,42.0,37.7,50.5,22.5,7.8,91.0
2021,"2,180",48.0,80.9,85.5,26.4,62.9,42.6,43.3,52.5,20.3,6.7,95.2
2022,"2,262",49.2,80.2,86.6,26.1,60.0,43.2,47.4,52.7,19.9,6.1,90.6
Player,"5,841",48.4,79.9,85.0,26.1,61.0,42.4,44.0,52.2,21.1,6.9,92.3
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
