Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2018,0,,0,-1,0,-1,-1,1,0,0,83,82,-1
2019,2,,0,1,0,1,0,1,0,2,87,93,6
2020,4,,0,0,0,1,2,0,1,4,89,92,3
2021,4,,-2,2,1,1,-2,1,3,2,90,91,1
2022,5,,0,2,1,4,-2,1,3,2,89,91,2
