Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,21,26.4,,,67,6,416,38.0
2019,22,27.9,,,28,9,192,72.0
2020,23,27.6,4.34,,25,13,152,69.8
2021,24,27.4,4.41,,32,27,273,59.7
2022,25,26.6,4.51,,63,48,427,31.6
