PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 10-12)",5.0,6,4,4,3,2,1,4.56
Danish,2.0,5,4,4,0,3,2,5.13
German,1.0,2,1,1,0,1,0,24.00
,8.0,13,9,9,3,6,3,
