PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Bundy(W, 2-0)",5.1,5,1,1,0,6,0,0.87
"Smith, Joe(H, 1)",0.2,0,0,0,1,0,0,0.00
"Duran, J(H, 1)",1.0,1,1,1,1,3,1,6.00
Jax,2.0,5,1,1,0,3,0,6.00
,9.0,11,3,3,2,12,1,
