Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,626,30,4.8,.311,.451
2017,R,674,36,5.3,.359,.260
2018,R,499,67,13.4,.282,.339
2019,R,463,45,9.7,.307,.482
2020,R,176,28,15.9,.346,.317
2021,R,674,58,8.6,.316,.405
2022,R,508,37,7.3,.246,.241
