Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,23,26.8,4.66,,56,26,337,50.2
2016,24,27.5,4.53,,42,24,246,64.2
2017,25,27.6,4.47,,31,27,239,64.5
2018,26,27.5,4.48,,37,38,262,61.0
2019,27,27.4,4.52,,38,30,266,61.2
2020,28,27.2,4.5,,31,17,200,60.2
2021,29,27.0,4.59,,13,30,329,51.4
2022,30,27.0,4.61,,52,23,365,41.6
