,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,510,481,48,97,11,38,5,.202,.239,.322,.561
10 Seasons,4465,4183,542,1066,174,537,15,.255,.294,.433,.727
