 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,21,14.1,61.9%,0.0%,2,17.4,0.0%,0.0%
2014,,464,15.5,44.6%,1.1%,255,21.9,2.0%,11.0%
2015,,267,16.5,36.7%,3.4%,118,22.2,8.5%,17.8%
2016,,531,17.9,28.1%,3.0%,268,23.7,5.6%,17.9%
2017,,681,17.1,28.8%,2.3%,371,23.3,0.0%,11.9%
2018,,428,16.5,30.8%,1.6%,246,23.0,2.0%,10.6%
2019,,340,17.5,25.9%,0.9%,252,23.0,0.0%,8.7%
2020,,159,17.1,28.9%,1.9%,75,22.5,0.0%,10.7%
2021,,730,17.5,25.8%,2.2%,371,23.8,0.3%,12.1%
2022,,442,17.8,24.4%,2.0%,268,22.0,0.7%,9.3%
