Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,980,54.8,274,254,55,41,11,1,2,43,213,.217,.247,.291,.346,.250,.288,88.1,9,21.7,19.7
2022,Breaking,635,35.5,176,170,33,18,8,0,7,47,123,.194,.223,.365,.349,.254,.262,85.8,11,36.1,22.2
2022,Offspeed,173,9.7,59,57,9,3,4,0,2,17,42,.158,.156,.333,.274,.201,.195,84.9,7,34.0,26.6
2021,Fastballs,"1,499",57.9,369,340,110,81,19,0,10,55,290,.324,.271,.468,.407,.357,.318,87.8,12,18.0,14.8
2021,Breaking,793,30.6,212,199,45,26,9,1,9,52,148,.226,.245,.417,.412,.292,.303,88.8,12,33.5,17.4
2021,Offspeed,296,11.4,93,84,18,13,2,0,3,26,60,.214,.236,.345,.374,.267,.302,88.1,4,33.3,21.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
