BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,0,0,1,1,0,1,.115,.517
Hoskins1B,4,1,1,1,0,1,2,.147,.524
RealmutoC,4,0,1,0,0,1,1,.219,.578
HarperDH,4,1,2,0,0,0,1,.419,1.390
"Castellanos, NRF",4,1,1,0,0,2,1,.200,.483
Bohm3B,4,1,1,1,0,2,1,.185,.517
Segura2B,4,0,0,0,0,2,3,.280,.717
VierlingCF,4,1,1,1,0,3,0,.200,.500
"Sosa, ESS",2,0,1,1,0,1,0,.500,1.250
a-StottPH-SS,1,0,0,0,0,1,0,.105,.385
,34,5,8,5,1,13,10,,
