PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Brebbia,1.0,1,0,0,0,0,0,2.98
"García, J(L, 1-4)",1.2,4,5,5,1,3,2,3.52
"Rogers, Ty",2.1,1,0,0,1,2,0,4.40
Leone,2.0,2,1,1,0,1,1,4.04
Littell,1.0,0,0,0,0,0,0,4.28
,8.0,8,6,6,2,6,3,
