Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,--,0,0.0,0,1,0,0,--
2021,,23.2,15,11.4,4,5,9,5,33.3
2022,,23.1,13,10.3,3,5,12,2,15.4
Player,,23.2,28,21.8,6,11,21,7,25.0
