,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,COL,NL,25,81,76,8,17,2,0,0,7,4,27,0,0,1,.224,.272,.250,.522
,2020,COL,NL,7,21,21,1,2,1,0,0,2,0,6,0,0,0,.095,.095,.143,.238
,2021,COL,NL,102,415,387,49,110,21,3,15,51,19,84,0,0,7,.284,.328,.470,.798
,2022,COL,NL,137,581,527,72,140,30,3,13,63,46,101,0,0,3,.266,.325,.408,.733
,4 Seasons,COL,NL,271,1098,1011,130,269,54,6,28,123,69,218,0,0,11,.266,.318,.414,.732
