BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SemienSS,5,1,3,3,0,1,1,.241,.703
HeimDH,3,1,1,0,2,1,1,.266,.792
1-TaverasPR,0,0,0,0,0,0,0,.325,.856
"Lowe, N1B",5,0,1,1,0,2,3,.275,.778
"García, AdCF",5,0,1,1,0,1,2,.248,.755
CalhounRF,4,0,1,0,0,2,2,.218,.651
"Duran, E2B",4,0,0,0,0,1,1,.242,.666
"Smith, Josh3B",1,2,0,0,3,0,1,.225,.626
"Hernandez, ELF",3,1,0,0,1,0,3,.231,.567
ViloriaC,3,2,1,2,1,1,1,.174,.649
,33,7,8,7,7,9,15,,
