BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OhtaniDH,4,2,1,3,1,0,3,.251,.832
WardRF-3B,2,2,0,0,2,1,0,.273,.833
Rengifo2B-3B-SS,4,0,1,2,1,0,2,.275,.736
Walsh1B,5,0,0,0,0,3,4,.234,.684
StassiC,4,1,2,1,0,1,1,.212,.650
AdellLF,3,0,0,0,1,1,2,.230,.634
SierraCF,0,0,0,0,0,0,0,.182,.432
MarshCF-LF,3,1,0,0,1,1,1,.222,.633
Gosselin3B,0,0,0,0,0,0,0,.205,.505
1-FletcherPR-2B,3,2,2,2,0,0,0,.208,.588
"Velazquez, ASS",2,1,1,0,1,0,2,.177,.487
a-SuzukiPH,1,0,0,0,0,1,1,.186,.538
"Thomas, DRF",0,0,0,0,0,0,0,.000,.200
,31,9,7,8,7,8,16,,
