PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Silseth,4.0,5,5,5,4,5,1,6.59
"Toussaint(W, 1-0)",4.0,2,2,2,2,3,1,4.50
"Iglesias, R(S, 16)",1.0,1,0,0,1,1,0,4.11
,9.0,8,7,7,7,9,2,
