BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeLF,1,1,0,1,3,1,0,.264,.760
HilliardLF,0,0,0,0,0,0,0,.183,.546
IglesiasSS,4,1,1,2,1,1,3,.304,.755
BryantDH,4,0,0,1,1,1,1,.289,.813
Cron1B,5,2,2,1,0,2,3,.296,.894
Rodgers2B,3,1,1,0,2,1,0,.255,.715
GrichukRF,4,1,2,3,0,0,1,.247,.680
DazaCF,4,1,2,0,0,1,3,.296,.692
ServenC,3,0,0,0,1,2,2,.247,.719
Hampson3B,3,1,1,0,1,1,0,.236,.675
,31,8,9,8,9,10,13,,
