PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Snell,3.2,4,5,5,6,5,0,5.22
"Scott, Tay",1.1,1,0,0,1,1,0,6.75
"Crismatt(L, 5-2)",0.2,3,3,3,1,1,0,2.76
"García, L",1.1,1,0,0,1,1,0,3.60
"Hill, T",1.0,0,0,0,0,2,0,4.32
,8.0,9,8,8,9,10,0,
