BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SwansonSS,4,0,0,0,0,3,1,.295,.845
d'ArnaudDH,4,0,1,0,0,1,0,.274,.822
Olson1B,4,1,2,0,0,0,1,.256,.840
Riley3B,3,0,0,0,1,0,2,.250,.821
OzunaLF,3,1,0,0,1,1,2,.222,.684
HerediaRF,0,0,0,0,0,0,0,.130,.587
"Contreras, WmC",4,0,2,1,0,1,0,.264,.900
DuvallRF-LF,4,1,1,2,0,2,2,.200,.628
Gosselin2B,4,1,1,0,0,1,1,.214,.428
"Harris II, MCF",3,0,1,1,0,0,0,.327,.860
,33,4,8,4,2,9,9,,
