PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(L, 6-5)",6.2,6,4,4,2,7,1,4.33
Alvarado,0.1,1,0,0,0,1,0,5.85
Familia,1.0,0,0,0,0,0,0,5.33
Appel,1.0,1,0,0,0,1,0,0.00
,9.0,8,4,4,2,9,1,
