PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(L, 8-5)",4.2,8,6,6,1,6,1,3.00
"Martinez, N",2.1,3,0,0,0,1,0,3.44
"Scott, Tay",2.0,3,1,1,0,2,0,5.06
,9.0,14,7,7,1,9,1,
