BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Castro, WRF",5,1,2,2,0,0,3,.262,.663
GrossmanLF,4,2,3,1,0,1,1,.205,.563
"Cabrera, MDH",5,2,2,1,0,1,2,.297,.709
HaaseC,5,3,3,3,0,2,1,.212,.628
"Báez, JSS",5,1,1,2,0,0,3,.192,.538
"Greene, RCF",3,2,2,0,2,0,0,.667,1.467
Torkelson1B,5,2,2,0,0,0,4,.184,.572
Schoop2B,5,1,2,1,0,1,4,.193,.535
Clemens3B,4,0,2,2,0,2,2,.129,.337
,41,14,19,12,2,7,20,,
