PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Hearn(L, 4-5)",3.2,10,8,8,0,4,2,6.25
Tinoco,1.1,3,3,3,1,1,1,4.76
Leclerc,1.0,4,3,3,1,0,0,27.00
King,2.0,2,0,0,0,2,0,4.82
,8.0,19,14,14,2,7,3,
