BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,0,0,0,0,0,1,.223,.629
Culberson2B,1,0,1,0,0,0,0,.242,.535
SeagerSS,4,1,1,1,0,2,1,.228,.727
"García, AdDH",4,3,3,1,0,1,0,.253,.773
CalhounRF,3,1,0,0,1,1,0,.237,.691
"Lowe, N1B",4,1,1,1,0,2,0,.274,.749
HuffC,4,0,1,1,0,2,0,.282,.672
"Miller, B3B",4,0,1,0,0,1,0,.217,.650
TaverasCF,4,1,1,0,0,0,2,.222,.578
ReksLF,4,0,1,0,0,0,1,.265,.559
,35,7,10,4,1,9,5,,
