PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Flexen(L, 1-3)",6.2,6,2,2,2,4,0,3.38
Castillo. D,0.2,1,0,0,2,0,0,2.08
Misiewicz,0.2,0,0,0,1,1,0,2.08
,8.0,7,2,2,5,5,0,
