BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichDH,5,1,2,0,1,2,3,.259,.756
AdamesSS,4,0,0,1,0,3,4,.219,.746
Tellez1B,4,1,3,1,1,0,0,.234,.781
McCutchenLF,4,1,2,0,1,0,3,.257,.719
"Wong, Ko2B",4,1,2,1,0,1,3,.248,.745
RenfroeRF,5,1,1,2,0,2,6,.242,.799
"Urías, L3B",5,1,1,1,0,0,1,.232,.726
NarváezC,3,1,2,1,0,0,0,.239,.699
a-CaratiniPH-C,1,1,0,0,0,0,1,.232,.772
"Taylor, TCF",3,1,1,1,2,1,1,.231,.724
,38,9,14,8,5,9,22,,
