BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaCF",4,1,1,0,1,1,1,.237,.663
Vázquez1B-C,4,1,2,1,1,0,0,.283,.759
BogaertsSS,3,0,1,1,2,0,1,.315,.849
MartinezDH,4,0,0,1,0,0,4,.286,.808
VerdugoLF,4,0,1,0,0,1,4,.270,.684
Dalbec3B,4,0,0,0,0,1,1,.206,.643
Arroyo2B,4,1,3,0,0,1,1,.242,.684
"Davis, JaRF",4,1,2,1,0,2,2,.417,.962
PlaweckiC,3,0,0,0,0,1,3,.181,.533
a-CorderoPH-1B,1,0,0,0,0,1,1,.223,.673
,35,4,10,4,4,8,18,,
