PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(W, 14-7)",5.0,4,1,1,0,3,0,2.48
"McHugh(H, 15)",1.0,1,0,0,0,0,0,2.65
"Iglesias, R(H, 12)",1.0,1,0,0,0,1,0,2.59
Minter,1.0,1,1,1,0,1,1,2.12
"Jansen(S, 38)",1.0,1,0,0,1,3,0,3.54
,9.0,8,2,2,1,8,1,
