PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"deGrom(L, 5-4)",6.0,5,3,3,0,11,3,3.08
Megill,0.2,3,2,2,0,0,0,5.36
May,0.1,0,0,0,0,1,0,5.56
"Rodríguez, J",1.0,0,0,0,0,0,0,4.66
,8.0,8,5,5,0,12,3,
