BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,1,0,0,2,0,.266,.776
Alonso1B,4,0,1,0,0,0,1,.268,.865
LindorSS,4,0,0,0,0,2,1,.272,.794
CanhaLF,3,0,0,0,0,1,1,.263,.766
McNeilRF-2B,4,1,2,0,0,0,0,.322,.818
Escobar3B,3,0,2,0,1,1,0,.242,.731
"Álvarez, FDH",4,0,0,0,0,1,6,.000,.000
Guillorme2B,2,0,1,1,0,0,0,.276,.698
a-VientosPH,1,0,0,0,0,0,0,.138,.541
NaquinRF,1,0,0,0,0,1,3,.240,.738
NidoC,3,1,1,1,0,0,1,.243,.610
,33,2,8,2,1,8,13,,
