PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Wainwright,5.0,9,4,4,0,2,0,3.33
"Pallante(L, 6-5)",0.1,2,1,1,0,0,0,3.27
"Hicks, J",1.1,2,2,2,1,1,0,4.97
Stratton,1.1,1,0,0,0,1,0,4.42
Naile,1.0,4,4,4,1,1,1,5.00
,9.0,18,11,11,2,5,1,
