Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,23,24.6,,,47,46,585,14.7
2017,24,24.6,4.75,,41,64,583,13.3
2018,25,25.0,4.77,,31,73,559,16.6
2019,26,24.1,,,45,82,618,9.7
2021,28,24.4,,,28,69,601,11.1
