PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(L, 4-1)",5.0,3,4,4,3,9,1,2.13
Murfee,1.0,2,0,0,0,1,0,0.00
Misiewicz,1.0,1,0,0,0,0,0,2.08
"Mills, W",1.0,0,0,0,0,1,0,1.17
Steckenrider,1.0,1,0,0,0,2,0,3.86
,9.0,7,4,4,3,13,1,
