BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,1,0,0,1,2,1,.267,.768
SwansonSS,3,1,1,1,1,0,2,.277,.777
"Harris II, MCF",4,0,0,0,0,2,4,.298,.855
Riley3B,3,1,0,0,0,0,2,.276,.886
Olson1B,2,1,1,2,2,1,0,.241,.804
d'ArnaudC,4,0,1,2,0,1,1,.267,.791
OzunaDH,3,0,0,0,0,2,3,.222,.673
"a-Contreras, WmPH-DH",1,0,0,0,0,1,0,.276,.858
"Rosario, ELF",3,0,0,0,0,0,1,.212,.591
HerediaLF,0,0,0,0,0,0,0,.127,.505
Arcia2B,3,1,2,0,0,1,0,.247,.744
,29,5,5,5,4,10,14,,
