PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(L, 0-1)",4.2,7,7,7,0,4,4,13.50
May,1.1,0,0,0,1,2,0,0.00
Lugo,1.0,0,0,0,1,1,0,0.00
"Peterson, D",1.0,0,0,0,0,2,0,0.00
Givens,1.0,1,0,0,0,2,0,0.00
,9.0,8,7,7,2,11,4,
