PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Berríos(L, 2-2)",5.1,5,5,5,1,4,1,5.82
"Richards, T",0.2,1,0,0,0,0,0,3.86
Thornton,1.2,2,0,0,0,1,0,3.52
Borucki,0.1,0,0,0,0,1,0,6.75
,8.0,8,5,5,1,6,1,
