PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Plesac(W, 3-11)",7.0,3,3,3,0,6,3,4.39
"Karinchak(H, 4)",1.0,0,0,0,0,1,0,1.23
"Clase(S, 30)",1.0,0,0,0,0,0,0,1.17
,9.0,3,3,3,0,7,3,
