 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,331,"1,257",3,-12,8,2,1
2017,,627,"2,361",-9,-3,8,9,5
2018,,702,"2,723",-11,-11,24,12,13
2019,,725,"2,744",-19,2,17,12,12
2020,,265,996,-4,-2,7,5,6
2021,,719,"2,608",-9,-22,18,10,-3
2022,,556,"2,041",-19,-7,11,8,-7
