 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,3,7,42.9,0,-2.1,-1,0.5,-2.6,30.9
2018,13,30,43.3,-2,-1.2,-0.4,0.5,-1.1,32.8
2019,24,48,50,0,-0.2,-0.3,-0.1,-0.6,32.1
2020,7,18,38.9,-1,-0.1,-0.8,0.2,-0.6,32.2
2021,4,9,44.4,0,-0.5,0.2,0.8,0.5,34.6
2022,24,42,57.1,1,-0.2,0,0.5,0.3,34.1
