,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,550,504,70,126,11,58,16,.250,.298,.375,.673
7 Seasons,3939,3627,522,1035,79,403,175,.285,.331,.426,.757
