Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.5,2,5.3,-3,9,6,1,50.0
2017,,22.1,19,22.8,-4,15,13,12,63.2
2018,,24.1,12,14.5,-3,5,10,8,66.7
2019,,23.2,16,15.2,1,14,7,8,50.0
2020,,24.5,9,10.5,-2,4,5,7,77.8
2021,,24.7,10,13.6,-4,12,14,5,50.0
2022,,23.4,11,11.2,0,9,15,1,9.1
Player,,23.3,79,93.1,-14,68,70,42,53.2
