Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,27,29.0,4.2,17,10,3,47,93.3
2017,28,29.2,4.22,14,5,2,38,94.5
2018,29,29.1,4.22,20,4,1,51,92.5
2019,30,28.6,4.23,11,10,5,99,85.7
2020,31,28.4,4.33,1,6,3,55,89.2
2021,32,28.6,4.32,1,12,3,88,87.1
2022,33,28.7,4.32,1,9,2,100,84.1
