BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,0,1,0,1,0,1,.271,.778
SwansonSS,3,0,0,0,1,0,1,.279,.772
Riley3B,3,2,1,1,1,0,2,.278,.898
Olson1B,4,1,2,0,0,0,1,.235,.778
d'ArnaudC,4,0,2,1,0,0,0,.273,.811
"Harris II, MCF",4,1,1,1,0,0,2,.305,.880
"Contreras, WmDH",3,0,1,1,0,2,2,.278,.868
"Rosario, ELF",4,1,2,1,0,1,3,.207,.589
Grissom2B,2,0,0,0,0,0,1,.297,.823
,30,5,10,5,3,3,13,,
