PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cole,6.0,4,4,4,2,10,3,3.30
Luetge,0.2,1,0,0,0,1,0,2.60
Trivino,0.1,0,0,0,0,0,0,4.79
Loáisiga,1.0,0,0,0,0,0,0,4.42
"Holmes(W, 6-3)",1.1,0,2,1,0,1,0,2.35
"Peralta, Wa(S, 4)",0.2,1,0,0,0,1,0,2.41
,10.0,6,6,5,2,13,3,
