PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Gausman,5.0,9,4,4,0,6,0,3.15
"Richards, T(BS, 1)",1.0,1,1,0,0,3,0,4.81
Bass,1.0,2,0,0,1,1,0,1.32
Cimber,0.2,1,0,0,0,2,0,3.17
Mayza,0.1,0,0,0,0,0,0,2.83
"Romano(W, 5-3)",2.0,2,0,0,1,2,0,2.25
,10.0,15,5,4,2,14,0,
