BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,5,1,1,0,0,3,4,.243,.708
PlaweckiC,1,0,0,0,0,0,1,.193,.519
Devers3B,5,0,2,1,0,1,2,.300,.911
MartinezDH,5,0,2,0,0,0,2,.276,.774
2-VerdugoPR-DH,0,0,0,0,0,0,0,.280,.716
BogaertsSS,4,1,2,0,1,0,2,.300,.814
Arroyo2B,4,1,2,0,1,1,2,.289,.761
RefsnyderRF,3,1,1,0,0,2,2,.309,.886
a-CorderoPH-RF-LF,2,0,0,0,0,2,5,.223,.692
McGuireC,4,0,3,1,0,1,0,.266,.622
"1-Hernández, KPR-CF",1,0,0,0,0,0,3,.209,.608
Dalbec1B,4,1,1,2,0,1,2,.205,.635
"Duran, JaCF-RF",4,0,1,1,0,3,3,.223,.659
,42,5,15,5,2,14,28,,
