BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,3,0,1,1,3,0,0,.276,.839
Guerrero1B,5,1,2,2,1,1,3,.284,.856
Gurriel Jr.LF,6,0,1,0,0,0,8,.295,.745
"Hernández, TRF",4,1,1,0,1,2,0,.261,.785
BichetteSS,4,0,2,2,1,2,2,.261,.725
"Chapman, M3B",5,0,2,0,0,2,3,.235,.777
"Tapia, RCF",4,0,0,0,0,2,3,.267,.667
Bradley Jr.CF,0,0,0,0,0,0,0,.210,.580
b-KirkPH,0,0,0,0,1,0,0,.302,.832
1-MerrifieldPR-CF,0,0,0,0,0,0,0,.241,.643
Espinal2B,3,1,1,0,0,0,0,.270,.705
a-BiggioPH-2B,2,1,0,0,0,0,2,.219,.699
"Jansen, DC",5,2,3,1,0,0,1,.213,.735
,41,6,13,6,7,9,22,,
