Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,23.1,21,15.2,6,6,14,6,28.6
2017,,23.2,26,19.7,6,12,11,10,38.5
2018,,23.4,34,26.0,8,7,14,16,47.1
2019,,24.4,49,38.7,10,15,25,19,38.8
2020,,25.9,15,13.6,1,5,12,5,33.3
2021,,24.5,31,29.6,1,10,19,14,45.2
2022,,26.7,32,30.2,2,11,23,12,37.5
Player,,24.5,208,172.9,35,66,118,82,39.4
