Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,12,10,30,45,4,40,51,49,74,40,20,8,23,75,55,,
2016,27,19,34,44,28,55,46,14,66,15,20,49,34,67,64,,
2017,75,55,55,54,88,56,55,19,66,31,27,90,42,88,49,87,
2018,91,83,92,92,85,81,72,88,89,88,34,75,37,82,35,45,
2019,76,31,79,87,68,95,93,53,85,59,10,72,19,79,30,67,
2020,64,14,71,89,46,89,91,55,82,78,16,81,18,69,27,73,38
2021,47,5,67,84,18,86,89,45,83,41,6,63,19,79,43,2,47
2022,75,12,81,94,53,93,94,66,77,69,5,88,8,89,17,50,46
