Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2014,DET,AL,277,82,100,5,1,.316,14,3,47,1091,3.939,.242,.014,.328,.094,2,0
2015,CIN,NL,398,166,140,4,2,.341,34,7,54,1581,3.972,.236,.033,.181,.167,6,0
2016,CIN,NL,627,232,210,0,3,.304,48,10,76,2594,4.137,.247,.033,.329,.163,5,1
2017,CIN,NL,632,246,243,0,5,.309,53,16,76,2687,4.252,.233,.041,.571,.200,4,0
2018,CIN,NL,606,277,265,0,6,.322,58,20,115,2429,4.008,.234,.056,.451,.243,4,0
2019,CIN,NL,662,329,235,0,6,.312,73,12,93,2728,4.121,.285,.074,.370,.301,1,0
2020,CIN,NL,231,93,87,0,1,.214,23,5,20,999,4.325,.290,.065,.448,.268,3,0
2021,CIN,NL,574,216,277,0,5,.224,54,14,80,2391,4.166,.298,.054,.327,.230,2,0
2022,SEA,AL,629,249,221,0,5,.302,57,12,69,2617,4.161,.312,.049,.372,.223,2,2
9 Seasons,3 Teams,,4636,1890,1778,9,34,.299,414,99,630,19117,4.124,.265,.048,.380,.215,29,3
