BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,3,0,0,0,1,0,1,.258,.829
BichetteSS,4,1,1,0,0,2,2,.255,.721
GuerreroDH,4,0,1,1,0,0,2,.261,.835
"Hernández, TRF",3,1,0,0,1,3,1,.257,.756
Gurriel Jr.LF,3,0,1,0,1,1,1,.292,.780
"Chapman, M3B",4,0,0,0,0,2,2,.220,.702
Espinal2B,4,0,1,0,0,1,0,.268,.720
MorenoC,3,0,1,0,0,0,1,.302,.659
Biggio1B,3,0,0,0,0,1,2,.220,.776
,31,2,5,1,3,10,12,,
